job_id,title,company_location,experience_level,employment_type,salary_min,salary_max,currency,skills,job_category
JOB016049,Software Engineer,US,MI,FT,140000.0,140000.0,USD,[],Data Engineer
JOB016050,Software Engineer,US,MI,FT,120000.0,120000.0,USD,[],Data Engineer
JOB016051,Software Engineer,US,MI,FT,140000.0,140000.0,USD,[],Data Engineer
JOB016052,Software Engineer,US,MI,FT,120000.0,120000.0,USD,[],Data Engineer
JOB016053,Software Engineer,US,SE,FT,243300.0,243300.0,USD,[],Data Engineer
JOB016054,Software Engineer,US,SE,FT,131500.0,131500.0,USD,[],Data Engineer
JOB016055,Software Engineer,US,MI,FT,720000.0,720000.0,USD,[],Data Engineer
JOB016056,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016057,Software Engineer,GB,SE,FT,236250.0,236250.0,USD,[],Data Engineer
JOB016058,Software Engineer,GB,SE,FT,129375.0,129375.0,USD,[],Data Engineer
JOB016059,Software Engineer,US,SE,FT,198000.0,198000.0,USD,[],Data Engineer
JOB016060,Software Engineer,US,SE,FT,132000.0,132000.0,USD,[],Data Engineer
JOB016061,Software Engineer,US,SE,FT,220000.0,220000.0,USD,[],Data Engineer
JOB016062,Software Engineer,US,SE,FT,160000.0,160000.0,USD,[],Data Engineer
JOB016063,Machine Learning Engineer,US,MI,FT,220000.0,220000.0,USD,[],ML Engineer
JOB016064,Machine Learning Engineer,US,MI,FT,96600.0,96600.0,USD,[],ML Engineer
JOB016065,Data Scientist,US,MI,FT,175100.0,175100.0,USD,[],Data Scientist
JOB016066,Data Scientist,US,MI,FT,75705.0,75705.0,USD,[],Data Scientist
JOB016067,Data Scientist,US,SE,FT,230000.0,230000.0,USD,[],Data Scientist
JOB016068,Data Scientist,US,SE,FT,115000.0,115000.0,USD,[],Data Scientist
JOB016069,Data Analyst,US,EN,FT,123000.0,123000.0,USD,[],Data Analyst
JOB016070,Data Analyst,US,EN,FT,54000.0,54000.0,USD,[],Data Analyst
JOB016071,Data Analyst,US,SE,FT,171814.0,171814.0,USD,[],Data Analyst
JOB016072,Data Analyst,US,SE,FT,92920.0,92920.0,USD,[],Data Analyst
JOB016073,Data Engineer,US,MI,FT,154500.0,154500.0,USD,[],Data Engineer
JOB016074,Data Engineer,US,MI,FT,61800.0,61800.0,USD,[],Data Engineer
JOB016075,Data Engineer,US,SE,FT,220000.0,220000.0,USD,[],Data Engineer
JOB016076,Data Engineer,US,SE,FT,96600.0,96600.0,USD,[],Data Engineer
JOB016077,Data Engineer,ZA,SE,FT,156170.0,156170.0,USD,[],Data Engineer
JOB016078,Data Engineer,ZA,SE,FT,95060.0,95060.0,USD,[],Data Engineer
JOB016079,Data Engineer,US,SE,FT,264800.0,264800.0,USD,[],Data Engineer
JOB016080,Data Engineer,US,SE,FT,172900.0,172900.0,USD,[],Data Engineer
JOB016081,Data Engineer,US,MI,FT,196900.0,196900.0,USD,[],Data Engineer
JOB016082,Data Engineer,US,MI,FT,175654.0,175654.0,USD,[],Data Engineer
JOB016083,Machine Learning Engineer,GB,MI,FT,300000.0,300000.0,USD,[],ML Engineer
JOB016084,Machine Learning Engineer,GB,MI,FT,150000.0,150000.0,USD,[],ML Engineer
JOB016085,AI Engineer,US,SE,FT,220000.0,220000.0,USD,[],Data Engineer
JOB016086,AI Engineer,US,SE,FT,96600.0,96600.0,USD,[],Data Engineer
JOB016087,AI Engineer,US,MI,FT,172000.0,172000.0,USD,[],Data Engineer
JOB016088,AI Engineer,US,MI,FT,75600.0,75600.0,USD,[],Data Engineer
JOB016089,Software Engineer,US,SE,FT,163000.0,163000.0,USD,[],Data Engineer
JOB016090,Software Engineer,US,SE,FT,77000.0,77000.0,USD,[],Data Engineer
JOB016091,Data Scientist,US,MI,FT,196900.0,196900.0,USD,[],Data Scientist
JOB016092,Data Scientist,US,MI,FT,185329.0,185329.0,USD,[],Data Scientist
JOB016093,Software Engineer,US,SE,FT,163000.0,163000.0,USD,[],Data Engineer
JOB016094,Software Engineer,US,SE,FT,77000.0,77000.0,USD,[],Data Engineer
JOB016095,Software Engineer,US,SE,FT,339250.0,339250.0,USD,[],Data Engineer
JOB016096,Software Engineer,US,SE,FT,180000.0,180000.0,USD,[],Data Engineer
JOB016097,Insight Analyst,GB,EN,FT,116925.0,116925.0,USD,[],Data Analyst
JOB016098,Insight Analyst,GB,EN,FT,105232.0,105232.0,USD,[],Data Analyst
JOB016099,Data Product Manager,US,SE,FT,235264.0,235264.0,USD,[],Manager
JOB016100,Data Product Manager,US,SE,FT,141158.0,141158.0,USD,[],Manager
JOB016101,Machine Learning Engineer,US,SE,FT,250000.0,250000.0,USD,[],ML Engineer
JOB016102,Machine Learning Engineer,US,SE,FT,175000.0,175000.0,USD,[],ML Engineer
JOB016103,Data Engineer,US,SE,FT,153900.0,153900.0,USD,[],Data Engineer
JOB016104,Data Engineer,US,SE,FT,85500.0,85500.0,USD,[],Data Engineer
JOB016105,Data Engineer,CA,MI,FT,171210.0,171210.0,USD,[],Data Engineer
JOB016106,Data Engineer,CA,MI,FT,92190.0,92190.0,USD,[],Data Engineer
JOB016107,Software Engineer,US,SE,FT,177100.0,177100.0,USD,[],Data Engineer
JOB016108,Software Engineer,US,SE,FT,130900.0,130900.0,USD,[],Data Engineer
JOB016109,Robotics Engineer,US,MI,FT,170000.0,170000.0,USD,[],Data Engineer
JOB016110,Robotics Engineer,US,MI,FT,163696.0,163696.0,USD,[],Data Engineer
JOB016111,Data Engineer,US,SE,FT,120000.0,120000.0,USD,[],Data Engineer
JOB016112,Data Engineer,US,SE,FT,90000.0,90000.0,USD,[],Data Engineer
JOB016113,Data Engineer,US,SE,FT,308000.0,308000.0,USD,[],Data Engineer
JOB016114,Data Engineer,US,SE,FT,190400.0,190400.0,USD,[],Data Engineer
JOB016115,Data Engineer,US,SE,FT,128000.0,128000.0,USD,[],Data Engineer
JOB016116,Data Engineer,US,SE,FT,81500.0,81500.0,USD,[],Data Engineer
JOB016117,Analytics Engineer,US,SE,FT,203000.0,203000.0,USD,[],Data Engineer
JOB016118,Analytics Engineer,US,SE,FT,153000.0,153000.0,USD,[],Data Engineer
JOB016119,Analytics Engineer,US,SE,FT,160000.0,160000.0,USD,[],Data Engineer
JOB016120,Analytics Engineer,US,SE,FT,136000.0,136000.0,USD,[],Data Engineer
JOB016121,Data Scientist,US,SE,FT,145000.0,145000.0,USD,[],Data Scientist
JOB016122,Data Scientist,US,SE,FT,95000.0,95000.0,USD,[],Data Scientist
JOB016123,Data Scientist,US,MI,FT,110000.0,110000.0,USD,[],Data Scientist
JOB016124,Data Scientist,US,MI,FT,90000.0,90000.0,USD,[],Data Scientist
JOB016125,Decision Scientist,US,SE,FT,82500.0,82500.0,USD,[],Data Scientist
JOB016126,Decision Scientist,US,SE,FT,82500.0,82500.0,USD,[],Data Scientist
JOB016127,Software Engineer,US,SE,FT,252900.0,252900.0,USD,[],Data Engineer
JOB016128,Software Engineer,US,SE,FT,133100.0,133100.0,USD,[],Data Engineer
JOB016129,Software Engineer,US,SE,FT,252900.0,252900.0,USD,[],Data Engineer
JOB016130,Software Engineer,US,SE,FT,133100.0,133100.0,USD,[],Data Engineer
JOB016131,Software Engineer,US,SE,FT,303500.0,303500.0,USD,[],Data Engineer
JOB016132,Software Engineer,US,SE,FT,159800.0,159800.0,USD,[],Data Engineer
JOB016133,Software Engineer,US,SE,FT,303500.0,303500.0,USD,[],Data Engineer
JOB016134,Software Engineer,US,SE,FT,159800.0,159800.0,USD,[],Data Engineer
JOB016135,Data Analyst,US,SE,FT,199000.0,199000.0,USD,[],Data Analyst
JOB016136,Data Analyst,US,SE,FT,133000.0,133000.0,USD,[],Data Analyst
JOB016137,Data Analyst,NZ,EN,FT,28125.0,28125.0,USD,[],Data Analyst
JOB016138,Data Analyst,NZ,EN,FT,28125.0,28125.0,USD,[],Data Analyst
JOB016139,Data Analyst,US,SE,FT,137000.0,137000.0,USD,[],Data Analyst
JOB016140,Data Analyst,US,SE,FT,110000.0,110000.0,USD,[],Data Analyst
JOB016141,Business Intelligence Engineer,US,SE,FT,245400.0,245400.0,USD,[],Data Engineer
JOB016142,Business Intelligence Engineer,US,SE,FT,139000.0,139000.0,USD,[],Data Engineer
JOB016143,Business Intelligence Engineer,US,SE,FT,245400.0,245400.0,USD,[],Data Engineer
JOB016144,Business Intelligence Engineer,US,SE,FT,139000.0,139000.0,USD,[],Data Engineer
JOB016145,Software Engineer,US,MI,FT,265000.0,265000.0,USD,[],Data Engineer
JOB016146,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016147,Applied Scientist,US,SE,FT,237000.0,237000.0,USD,[],Data Scientist
JOB016148,Applied Scientist,US,SE,FT,161200.0,161200.0,USD,[],Data Scientist
JOB016149,Machine Learning Engineer,US,SE,FT,303000.0,303000.0,USD,[],ML Engineer
JOB016150,Machine Learning Engineer,US,SE,FT,210000.0,210000.0,USD,[],ML Engineer
JOB016151,Machine Learning Engineer,CA,MI,FT,149500.0,149500.0,USD,[],ML Engineer
JOB016152,Machine Learning Engineer,CA,MI,FT,149500.0,149500.0,USD,[],ML Engineer
